id	 artist	 title	 date	 materials	 address	 description	 type	 url1	 url2	 loc_lat	, loc_long
ID_00073	 Futago, Judith Abell, Chris Viney	 1250	 2010	 <Null>	 Napoleon Street	 	 Battery Point Trail	 http://www.hobartcity.com.au/files/36a4b4f7-dcc1-4b7c-94e6-9dd800d3c1d5/1250_053.jpg	 	 -42.89227563696255	 147.3354824548092
ID_00074	 Futago, Judith Abell, Chris Viney	 24	 2010	 <Null>	 Napoleon Street	 Resin	 Battery Point Trail	 http://www.hobartcity.com.au/files/8feb1c92-1256-4a6e-853c-9e09010fdcc1/Battery_point_pics_072_(Small).jpg	 	 -42.89331214092064	 147.3346862255545
ID_00075	 Futago, Judith Abell, Chris Viney	 1909	 2010	 <Null>	 Marieville esplanade foreshore	 painted steel sculpture	 Battery Point Trail	 http://www.hobartcity.com.au/files/8feb1c92-1256-4a6e-853c-9e09010fdcc1/Battery_point_pics_072_(Small).jpg	 	 -42.89438818219708	 147.3335878421836
ID_00076	 Ari Purhonen	 Beacon	 2013	 Timber, Stainless steel	 Long Beach Sandy Bay	 stainless steel and celery top pine tower	 Art	 http://www.hobartcity.com.au/files/eb4b6d51-670f-4f8d-9235-a23500b50b00/Ari_Purhonen_WEB_039.jpg	 http://www.hobartcity.com.au/files/a0c7b665-9a58-43d9-b81c-a23500b4ee8b/Ari_Purhonen_WEB_015.jpg	 -42.91021762682649	 147.3572424024102
ID_00077	 Justy Phillips	 The yellow line	 2013	 Aluminium, Acrylic, LED lights	 Salamanca Place	 Inground light box	 Urban Art	 http://www.hobartcity.com.au/files/6b2ed319-80c5-4d5b-bc72-a23400e52333/In_the_Wake_of_your_Courage_I_swim.jpg	 	 -42.886061028844	 147.3303051904601
ID_00078	 Justy Phillips	 The yellow line	 2013	 Aluminium, Acrylic, LED lights	 Salamanca Place	 Inground light box	 Urban Art	 http://www.hobartcity.com.au/files/284644c3-4fbb-4c3e-86d0-a23400e50462/Forgive_me_for_not_holding_you_in_my_arms.jpg	 	 -42.8858923757109	 147.330040994905
ID_00079	 Georgie Marshall, Najibeh Jafari	 No Trees No City	 2011	 paint	 Cnr Davey and Harrington Streets	 mural	 Signal Box	 http://www.hobartcity.com.au/files/c56723b6-fca7-4980-9784-9ffa00ec02d8/9101_a.jpg	 http://www.hobartcity.com.au/files/a6d0bfc4-cafd-45a5-9756-9ffa00ec1f0b/9101_b.jpg	 -42.88637147044793	 147.3275504450056
ID_00080	 Rory Lefroy	 Safe with us now	 2011	 paint	 Cnr Davey & Murray St	 mural	 Signal Box	 http://www.hobartcity.com.au/files/268722c2-e08a-48bd-bfec-9f4b00efb916/9103_front.jpg	 http://www.hobartcity.com.au/files/03fb4c05-b4e3-4002-8964-9f4b00efb965/9103_side.jpg	 -42.88436295941175	 147.3295638563851
ID_00081	 Cosmos Inc	 Things we love about Tasmania	 2011	 paint	 Cnr Macquarie & Murray Sts	 mural	 Signal Box	 http://www.hobartcity.com.au/files/61a4979f-f340-4d12-8283-9ffa00ec31a0/9104_a.jpg	 http://www.hobartcity.com.au/files/71251fd8-0a11-48cb-971a-9ffa00ec424a/9104_b.jpg	 -42.88393169217031	 147.3288578992892
ID_00082	 Valentina Marshall, Veronika Beinssen-Henry	 Spotted Handfish	 <Null>	 <Null>	 Cnr Davey and Argyle Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/474e30f0-57c8-4dc6-a843-9ffa00ec5615/9105_a.jpg	 http://www.hobartcity.com.au/files/a436fbf0-81d2-40a8-8847-9ffa00ec66e9/9105_b.jpg	 -42.88251586972793	 147.3319324108624
